title,year,journal,doi,pmid,source,source_url,local_zotero_key,local_zotero_item_id,local_zotero_collections,zotero_status,Baker_direct_or_method_candidate,method_family,application_class,validation_level,benchmark_relevance,synthesis_priority,baker_categories,baker_tags,authors,needs_manual_check_reason
Atom-level enzyme active site scaffolding using RFdiffusion2,2026,Nat Methods,10.1038/s41592-025-02975-x,41339749,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1038/s41592-025-02975-x,ZYFCZKMH,310,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:enzyme-design,enzyme,experimental_design_report_likely,high,medium_for_method_transfer,,,"Ahern W, Yim J, Tischer D, Salike S, Woodbury SM, Kim D, Kalvet I, Kipnis Y, Coventry B, Altae-Tran HR, Bauer MS, Barzilay R, Jaakkola TS, Krishna R, Baker D.",
Design of intrinsically disordered region binding proteins,2025,Science,10.1126/science.adr8063,40674483,Baker Lab Lab-Led publications,https://doi.org/10.1126/science.adr8063,R6EX4F4F,462,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:protein-binder-applications,protein_binder,experimental_design_report_likely,high,high_for_miniprotein_binder_benchmark,,,"Wu K, Jiang H, Hicks DR, Liu C, Muratspahić E, Ramelot TA, Liu Y, McNally K, Kenny S, Mihut A, Gaur A, Coventry B, Chen W, Bera AK, Kang A, Gerben S, Lamb MY, Murray A, Li X, Kennedy MA, Yang W, Song Z, Schober G, Brierley SM, O’Neill J, Gelb MH, Montelione GT, Derivery E, Baker D.",
Design of high-specificity binders for peptide-MHC-I complexes,2025,Science,10.1126/science.adv0185,40705892; 39651227,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1126/science.adv0185,EFSYJFZZ,270,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:protein-binder-applications; Baker:peptide-design,protein_binder; peptide_or_macrocycle,experimental_design_report_likely,high,high_for_peptide_synthesis_or_affinity_testing,,,"Liu B, Greenwood NF, Bonzanini JE, Motmaen A, Meyerberg J, Dao T, Xiang X, Ault R, Sharp J, Wang C, Visani GM, Vafeados DK, Roullier N, Nourmohammad A, Scheinberg DA, Garcia KC, Baker D.",
Design of high-affinity binders to immune modulating receptors for cancer immunotherapy,2025,Nat Commun,10.1038/s41467-025-57192-z,40011465,Baker Lab Lab-Led publications,https://doi.org/10.1038/s41467-025-57192-z,9AMWWF3K,468,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:protein-binder-applications,protein_binder,functional_cell_or_in_vivo_claim,high,high_for_miniprotein_binder_benchmark,,,"Yang W, Hicks DR, Ghosh A, Schwartze TA, Conventry B, Goreshnik I, Allen A, Halabiya SF, Kim CJ, Hinck CS, Lee DS, Bera AK, Li Z, Wang Y, Schlichthaerle T, Cao L, Huang B, Garrett S, Gerben SR, Rettie S, Heine P, Murray A, Edman N, Carter L, Stewart L, Almo SC, Hinck AP, Baker D.",
Atomically accurate de novo design of antibodies with RFdiffusion,2025,Nature,10.1038/s41586-025-09721-5,41193805; 38562682,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1038/s41586-025-09721-5,EBQ7CNVI,486,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:antibody-design,antibody,structure_validated_or_atomic_claim,high,medium_for_antibody_design_context,Methods,Drug Discovery; Machine Learning,"Drug Discovery Machine Learning Bennett NR, Watson JL, Ragotte RJ, Borst AJ, See DL, Weidle C, Biswas R, Yu Y, Shrock EL, Ault R, Leung PJY, Huang B, Goreshnik I, Tam J, Carr KD, Singer B, Criswell C, Wicky BIM, Vafeados D, Sanchez MG, Kim HM, Torres SV, Chan S, Sun SM, Spear T, Sun Y, O’Reilly K, Maris JM, Sgourakis NG, Melnyk RA, Liu CC, Baker D.",
Atomic context-conditioned protein sequence design using LigandMPNN,2025,Nat Methods,10.1038/s41592-025-02626-1,40155723,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1038/s41592-025-02626-1,UN6R4C6J,330,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:protein-binder-applications,protein_binder,structure_validated_or_atomic_claim,high,high_for_miniprotein_binder_benchmark,,,"Dauparas J, Lee GR, Pecoraro R, An L, Anishchenko I, Glasscock C, Baker D.",
Accurate de novo design of high-affinity protein-binding macrocycles using deep learning.,2025,Nat Chem Biol,10.1038/s41589-025-01929-w,40542165; 39605685,PubMed Entrez Baker/design query,https://pubmed.ncbi.nlm.nih.gov/40542165/,FJBRZKRX,302,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:protein-binder-applications; Baker:peptide-design,peptide_or_macrocycle,experimental_design_report_likely,high,high_for_peptide_synthesis_or_affinity_testing,,,Rettie SA; Juergens D; Adebomi V; Bueso YF; Zhao Q; Leveille AN; Liu A; Bera AK; Wilms JA; Üffing A; Kang A; Brackenbrough E; Lamb M; Gerben SR; Murray A; Levine PM; Schneider M; Vasireddy V; Ovchinnikov S; Weiergräber OH; Willbold D; Kritzer JA; Mougous JD; Baker D; DiMaio F; Bhardwaj G,
Generalized biomolecular modeling and design with RoseTTAFold All-Atom.,2024,Science,10.1126/science.adl2528,38452047,PubMed Entrez Baker/design query,https://pubmed.ncbi.nlm.nih.gov/38452047/,2TBSKR5H,298,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods,general_design,experimental_design_report_likely,high,background_or_manual_review,,,Krishna R; Wang J; Ahern W; Sturmfels P; Venkatesh P; Kalvet I; Lee GR; Morey-Burrows FS; Anishchenko I; Humphreys IR; McHugh R; Vafeados D; Li X; Sutherland GA; Hitchcock A; Hunter CN; Kang A; Brackenbrough E; Bera AK; Baek M; DiMaio F; Baker D,
Diffusing protein binders to intrinsically disordered proteins,2024,Nature,10.1038/s41586-025-09248-9,39071267; 40739343,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1101/2024.07.16.603789,RH3JTCFH,306,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:protein-binder-applications,protein_binder,experimental_design_report_likely,high,high_for_miniprotein_binder_benchmark,,,"Liu C, Wu K, Choi H, Han H, Zhang X, Watson JL, Shijo S, Bera AK, Kang A, Brackenbrough E, Coventry B, Hick DR, Hoofnagle AN, Zhu P, Li X, Decarreau J, Gerben SR, Yang W, Wang X, Lamp M, Murray A, Bauer M, Baker D.",
Accurate prediction of protein-nucleic acid complexes using RoseTTAFoldNA.,2024,Nat Methods,10.1038/s41592-023-02086-5,37996753,PubMed Entrez Baker/design query,https://pubmed.ncbi.nlm.nih.gov/37996753/,8MV2SGQH,2175,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods,general_design,needs_manual_check,high,background_or_manual_review,,,Baek M; McHugh R; Anishchenko I; Jiang H; Baker D; DiMaio F,Rule-based classifier could not confidently assign method/application.
Accurate de novo design of heterochiral protein-protein interactions.,2024,Cell Res,10.1038/s41422-024-01014-2,39143121,PubMed Entrez Baker/design query,https://pubmed.ncbi.nlm.nih.gov/39143121/,NMY4RLP5,414,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods,general_design,functional_cell_or_in_vivo_claim,high,background_or_manual_review,,,Sun K; Li S; Zheng B; Zhu Y; Wang T; Liang M; Yao Y; Zhang K; Zhang J; Li H; Han D; Zheng J; Coventry B; Cao L; Baker D; Liu L; Lu P,
Improving de novo protein binder design with deep learning.,2023,Nat Commun,10.1038/s41467-023-38328-5,37149653,PubMed Entrez Baker/design query,https://pubmed.ncbi.nlm.nih.gov/37149653/,3AYIMQW5,190,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:protein-binder-applications,protein_binder,experimental_design_report_likely,high,high_for_miniprotein_binder_benchmark,,,Bennett NR; Coventry B; Goreshnik I; Huang B; Allen A; Vafeados D; Peng YP; Dauparas J; Baek M; Stewart L; DiMaio F; De Munck S; Savvides SN; Baker D,
De novo design of protein structure and function with RFdiffusion,2023,Nature,10.1038/s41586-023-06415-8,37433327,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1038/s41586-023-06415-8,UKX5E6IB,36,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods,general_design,structure_validated_or_atomic_claim,high,background_or_manual_review,,Machine Learning,"Machine Learning Watson JL, Juergens D, Bennett NR, Trippe BL, Yim J, Eisenach HE, Ahern W, Borst AJ, Ragotte RJ, Milles LF, Wicky BIM, Hanikel N, Pellock SJ, Courbet A, Sheffler W, Wang J, Venkatesh P, Sappington I, Torres SV, Lauko A, De Bortoli V, Mathieu E, Ovchinnikov S, Barzilay R, Jaakkola TS, DiMaio F, Baek M, Baker D.",
Scaffolding protein functional sites using deep learning,2022,Science,10.1126/science.abn2100,35862514,Baker Lab Lab-Led publications,https://doi.org/10.1126/science.abn2100,ZE3W4E7F,454,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:protein-binder-applications,protein_binder,needs_manual_check,high,high_for_miniprotein_binder_benchmark,,Machine Learning,"Machine Learning Jue Wang, Sidney L. Lisanza, David Juergens, Doug Tischer, Joseph Watson, Karla M Castro, Robert Ragotte, Amijai Saragovi, Lukas Milles, Minkyung Baek, Ivan Anishchenko, Wei Yang, Derrick Hicks, Marc Expsit, Thomas Schlichthaerle, Jung Ho Chun, Justas Dauparas, Nathaniel Bennett, Basile Wicky, Andrew Muenks, Frank DiMaio, Bruno Correia, Sergey Ovchinnikov, David Baker.",Rule-based classifier could not confidently assign method/application.
Robust deep learning-based protein sequence design using ProteinMPNN,2022,Science,10.1126/science.add2187,36108050,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1126/science.add2187,V2WLND5M,54,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:core-methods; Baker:protein-binder-applications,protein_binder,experimental_design_report_likely,high,high_for_miniprotein_binder_benchmark,Methods,Machine Learning; MPNN,"Machine Learning MPNN Dauparas J, Anishchenko I, Bennett N, Bai H, Ragotte RJ, Milles LF, Wicky BIM, Courbet A, de Haas RJ, Bethel N, Leung PJY, Huddy TF, Pellock S, Tischer D, Chan F, Koepnick B, Nguyen H, Kang A, Sankaran B, Bera AK, King NP, Baker D.",
Design of protein-binding proteins from the target structure alone,2022,Nature,10.1038/s41586-022-04654-9,35332283,Baker Lab Lab-Led publications; PubMed Entrez Baker/design query,https://doi.org/10.1038/s41586-022-04654-9,79Y2GSJN,182,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:protein-binder-applications; Baker:vaccine-infection-therapeutics,general_design,structure_validated_or_atomic_claim,high,background_or_manual_review,,,"Cao L, Coventry B, Goreshnik I, Huang B, Sheffler W, Park JS, Jude KM, Marković I, Kadam RU, Verschueren KHG, Verstraete K, Walsh STR, Bennett N, Phal A, Yang A, Kozodoy L, DeWitt M, Picton L, Miller L, Strauch EM, DeBouver ND, Pires A, Bera AK, Halabiya S, Hammerson B, Yang W, Bernard S, Stewart L, Wilson IA, Ruohola-Baker H, Schlessinger J, Lee S, Savvides SN, Garcia KC, Baker D.",
Accurate prediction of protein structures and interactions using a three-track neural network,2021,Science,10.1126/science.abj8754,34282049,Baker Lab Lab-Led publications,https://doi.org/10.1126/science.abj8754,J8FL29Q2,254,AI药物设计_蛋白与多肽,present_in_zotero,Baker:direct-or-lab-led,Baker:protein-binder-applications,protein_binder,structure_validated_or_atomic_claim,high,high_for_miniprotein_binder_benchmark,,,"Baek M, DiMaio F, Anishchenko I, Dauparas J, Ovchinnikov S, Lee GR, Wang J, Cong Q, Kinch LN, Schaeffer RD, Millán C, Park H, Adams C, Glassman CR, DeGiovanni A, Pereira JH, Rodrigues AV, van Dijk AA, Ebrecht AC, Opperman DJ, Sagmeister T, Buhlheller C, Pavkov-Keller T, Rathinaswamy MK, Dalwadi U, Yip CK, Burke JE, Garcia KC, Grishin NV, Adams PD, Read RJ, Baker D.",
