reviewer_role,severity,artifact,issue,recommendation,decision,status,evidence,next_action
medicinal_chemistry,major,benchmarks/scoring/scoring_protocol_v0.md,Developability currently lists useful metadata proxies but lacks explicit separation of synthetic feasibility and experimental developability endpoints,Keep metadata-level proxies in v0.4 and add later-stage-only labels for solubility serum stability protease stability permeability hemolysis immunogenicity purity and yield,revise_protocol,open,scoring_protocol_v0 developability section,add later_stage_only wording and keep experimental fields empty until sourced
medicinal_chemistry,major,benchmarks/input_sets/target_candidate_matrix_v0.4.csv,Overath binders are mostly miniprotein/protein binders and not short therapeutic peptides,Use Overath only for T3 scoring calibration and avoid peptide-specific generation claims,accept_boundary,done,Overath final_dataset.csv A_length range and dataset_candidate_audit,keep decision=calibration_candidate_not_generation
computational_structural_biology,critical,benchmarks/input_sets/target_candidate_matrix_v0.4.csv,Target candidates are not yet frozen and controls/leakage are incomplete,Do not populate target_set_v0.csv until positive control negative control assay license and leakage fields are reviewed,block_freeze,open,target_set_v0.csv is schema-only and candidate matrix is separate,complete target provenance review before target_set_v0 rows
computational_structural_biology,major,benchmarks/protocols/benchmark_protocol_v0.md,T1 sequence-only outputs and T2/T3 structural outputs are not directly comparable,Keep within-task comparison primary and cross-task comparison limited to runnability output completeness and scoring applicability,revise_manuscript_framing,open,benchmark_protocol_v0 task mapping,add statement to manuscript outline and claim map
computational_structural_biology,major,benchmarks/scoring/scoring_protocol_v0.md,Peptide and miniprotein DockQ/RMSD can be misleading without reference complex and chain mapping,Require not_applicable_reason when reference structure or chain mapping is absent,revise_schema_later,open,scoring_protocol_v0 structure_similarity section,add validator token check in a later schema revision
ai_benchmark,critical,reports/benchmark_manuscript_outline.md,Generation benchmark and ranking/rescoring are separated but planned result metrics need stronger reporting standards,Add parseability failure_rate output_completeness runtime top_k_enrichment calibration_error and missing_metric_rate as planned reporting metrics,revise_outline,open,benchmark manuscript outline sections 7 and 11,update planned results text and scoring plan
ai_benchmark,major,benchmarks/input_sets/dataset_readiness_scorecard.csv,Overath is suitable for ranking/rescoring calibration but not for de novo peptide generation,Set Overath decision to calibration and keep benchmark_track as ranking_rescoring scoring_calibration,accept_boundary,done,dataset_readiness_scorecard Overath row,review final_dataset schema before v0.5 sampling
data_statistics,critical,benchmarks/input_sets/dataset_readiness_scorecard.csv,Overath metadata reports 3766 binders but final_dataset.csv has 3676 rows and 7 blank target_id rows,Record row-count discrepancy and require cleaning before any quantitative analysis,data_cleaning_required,done,external final_dataset.csv scan on 2026-06-03,prepare row cleaning log if data is sampled in v0.5
data_statistics,major,benchmarks/input_sets/target_candidate_matrix_v0.4.csv,Overath contains 15 nonblank target_ids plus blank rows; target novelty and overlap are unknown,Mark all extracted Overath targets as calibration candidates not independent tests until leakage is checked,calibration_only,done,target_candidate_matrix_v0.4 Overath rows,perform homology and source-paper overlap checks
data_statistics,major,benchmarks/input_sets/dataset_readiness_scorecard.csv,PEPBI and GPCR peptide benchmark candidates lack local schema and license confirmation,Keep as background or test-candidate only after license/schema extraction,defer,open,candidate_benchmark_datasets.csv rows for PEPBI and GPCR,extract schema/license from source pages or supplement
engineering_reproducibility,critical,benchmarks/method_sources/source_pin_audit_v0.4.csv,Source pinning must not be interpreted as installation or reproducibility,Use audit_status=pinned_no_install and keep environment setup out of v0.4,accept_boundary,done,source_pin_audit_v0.4 rows,do not add installed/reproduced wording
engineering_reproducibility,major,benchmarks/method_sources/source_pin_audit_v0.4.csv,PepMLM shallow clone lacks a license file and obvious environment file,Keep PepMLM as easiest source route but block environment claim until model card and license are checked,needs_license_modelcard_check,done,external PepMLM clone commit 3169c4920f8c383948e0a5d3a7c8f87e5e7d2436,inspect Hugging Face model card before smoke test
engineering_reproducibility,major,benchmarks/method_sources/source_pin_audit_v0.4.csv,RFdiffusion and ProteinMPNN require two repo pins plus checkpoint policies,Record both repo commits separately and keep weights_policy=no_weight_download,split_pin_required,done,external shallow clones RFdiffusion and ProteinMPNN,create v0.5 minimal no-weight command contract
engineering_reproducibility,major,benchmarks/method_sources/source_pin_audit_v0.4.csv,PepMirror has a concrete command route but depends on PyRosetta Vina OpenMM and checkpoint,Keep scientific priority high but engineering readiness heavy_dependency,heavy_dependency,done,PepMirror README environment.yaml and commit 41cb31f3974d91e1a2ca88f0db060405833e4a9c,resolve PyRosetta and checkpoint license before install planning
writing_claims,major,reports/benchmark_manuscript_claim_evidence_map.csv,v0.4 source pin audit and target candidate matrix could be overread as completed benchmark preparation,Add explicit claims that source pinning is not reproduction and target candidates are not frozen targets,revise_claim_map,open,claim-evidence map v0.3 boundaries,append v0.4 boundary rows
